milestone,result_dir,cagr,sharpe,max_drawdown,volatility,calmar,total_turnover,calendar_events,threshold_events,category_change_events,rebalance,weight_drift,rebalance_policy,recategorization_policy,turnover_penalty,category_confirmation_periods,category_change_min_score_improvement,category_exposure_cap,electre_assignment,electre_use_veto,notes,delta_cagr,delta_sharpe,delta_max_drawdown,delta_total_turnover
paper_style_rebalance_only,results/sprint_universe_paper_quarterly,0.1360834400286057,1.4988180651956553,-0.0422756021805218,0.0879223640516291,3.218959234395131,2.190564970673002,4,0,0,quarterly,buy_and_hold,threshold,,0.0,1,0.0,,pessimistic,False,"Config principal corto: trimestral, buy_and_hold, pesimista sin veto",,,,
materiality_confirm2_min030,results/sweep_materiality_confirm2_m030,0.1078848774127925,1.1623231986478697,-0.0494444177843772,0.0918165441056445,2.18194251741964,1.5,1,0,1,quarterly,buy_and_hold,threshold,every_period,0.0,2,0.3,,pessimistic,False,Mejor hito corto con confirmación y filtro de materialidad,-0.028198562615813202,-0.3364948665477856,-0.007168815603855398,-0.6905649706730022
thesis_grade_oos_2015_2025_pilot,results/sprint_universe_paper_quarterly_2015_2025_oos,-0.0108360396655233,0.0107897898010289,-0.4354625100278235,0.1584389473839619,-0.0248839783356574,13.61110106803324,31,0,0,quarterly,buy_and_hold,calendar,rebalance_only,0.0,1,0.0,,pessimistic,False,Validación pública larga 2015-2025 sin cap; revela fragilidad,-0.1187209170783158,-1.1515334088468407,-0.3860180922434463,12.11110106803324
category_cap025_2015_2025,results/sprint_universe_paper_quarterly_2015_2025_cap025,0.0040703476882444,0.0929932973599516,-0.2483821188416251,0.1162647983713816,0.0163874424907366,10.314403522886487,31,0,0,quarterly,buy_and_hold,calendar,rebalance_only,0.0,1,0.0,0.25,pessimistic,False,Control de concentración por bucket de riesgo al 25%; mejora drawdown y CAGR vs OOS largo,0.0149063873537677,0.0822035075589227,0.1870803911861984,-3.2966975451467526
ready_candidate_every_confirm2_m030_cap025,results/sprint_universe_paper_quarterly_2015_2025_every_confirm2_m030_cap025,0.0246775410059141,0.2470017180278104,-0.2401420700491578,0.1360867904216218,0.1027622565294892,4.016066334501966,1,0,4,quarterly,buy_and_hold,threshold,every_period,0.0,2,0.3,0.25,pessimistic,False,"Candidato de presentación: recategorización confirmada, materialidad 0.30, cap 25%",0.0206071933176697,0.1540084206678588,0.008240048792467286,-6.2983371883845205
